Region,savings_account
New York,100
New Hampshire,78
New Jersey,76
Virginia,75
Maine,70
Massachusetts,69
Kansas,64
Alaska,64
Hawaii,63
Georgia,62
Arizona,61
District of Columbia,60
Illinois,60
Connecticut,60
Pennsylvania,59
Missouri,59
Delaware,58
Alabama,58
Indiana,57
Rhode Island,57
Nebraska,57
Idaho,56
Maryland,56
Ohio,56
Mississippi,56
California,55
Utah,55
Oregon,55
Iowa,54
Vermont,53
Wisconsin,53
Texas,53
Colorado,53
Minnesota,52
Arkansas,52
Washington,51
Tennessee,51
Montana,51
Michigan,51
North Carolina,50
South Dakota,50
Nevada,46
Florida,45
Louisiana,44
Kentucky,44
Oklahoma,43
New Mexico,43
South Carolina,40
West Virginia,36
North Dakota,36
Wyoming,33